uf,cidade,lat,lon
BA,IRAMAIA,-13.2937451,-40.9576036
BA,IRAQUARA,-12.2439075,-41.6169181
BA,IRARÁ,-12.0420271,-38.7635638
BA,IRECÊ,-11.3034965,-41.8557929
BA,ITABELA,-16.5743392,-39.561961
BA,ITABERABA,-12.524182,-40.305897
BA,ITABUNA,-14.7935179,-39.274318
BA,ITACARÉ,-14.2781298,-38.9951418
BA,ITAETÉ,-12.9794728,-40.9661685
BA,ITAGI,-14.1627902,-40.0069366
BA,ITAGIBÁ,-14.2891521,-39.8452592
BA,ITAGIMIRIM,-16.0852591,-39.614789
BA,ITAGUAÇU DA BAHIA,-11.0116542,-42.3984029
BA,ITAJU DO COLÔNIA,-15.1415094,-39.7230045
BA,ITAJUÍPE,-14.6744381,-39.3759427
BA,ITAMARAJU,-17.0363103,-39.527994
BA,ITAMARI,-13.778192,-39.682959
BA,ITAMBÉ,-15.2435245,-40.6269506
BA,ITANAGRA,-12.2589718,-38.0388625
BA,ITANHÉM,-17.1665806,-40.3291027
BA,ITAPARICA,-12.8936023,-38.6798141
BA,ITAPEBI,-15.9691891,-39.5320541
BA,ITAPETINGA,-15.2454478,-40.2460053
BA,ITAPICURU,-11.3094471,-38.2184391
BA,ITAPITANGA,-14.4213865,-39.5664662
BA,ITAPÉ,-14.8970856,-39.4246637
BA,ITAQUARA,-13.4464331,-39.9384891
BA,ITARANTIM,-15.6520917,-40.0599067
BA,ITATIM,-12.7073174,-39.6974476
BA,ITIRUÇU,-13.5338389,-40.1502444
BA,ITIÚBA,-10.6917496,-39.8532886
BA,ITORORÓ,-15.1179764,-40.0680738
BA,ITUAÇU,-13.815529,-41.2981722
BA,ITUBERÁ,-13.7360764,-39.1481058
BA,IUIU,-14.4113008,-43.5508641
BA,JABORANDI,-13.6203918,-44.4693394
BA,JACARACI,-14.8457532,-42.4328959
BA,JACOBINA,-11.1851561,-40.5112434
BA,JAGUAQUARA,-13.5294974,-39.9693081
BA,JAGUARARI,-10.2575875,-40.1944363
BA,JAGUARIPE,-13.1147557,-38.8944977
BA,JANDAÍRA,-11.5628009,-37.7820255
BA,JEQUIÉ,-13.8604033,-40.0719627
BA,JEREMOABO,-10.0754917,-38.3476326
BA,JIQUIRIÇÁ,-13.255353,-39.5693044
BA,JITAÚNA,-14.017019,-39.8889976
BA,JOÃO DOURADO,-11.3483643,-41.6626509
BA,JUAZEIRO,-9.4336959,-40.5068201
BA,JUCURUÇU,-16.843428,-40.1596925
BA,JUSSARA,-11.0473921,-41.97167
BA,JUSSARI,-15.1882453,-39.493597
BA,JUSSIAPE,-13.5176017,-41.5919452
BA,LAFAIETE COUTINHO,-13.6557671,-40.2121188
BA,LAGOA REAL,-14.0346296,-42.1421925
BA,LAJE,-13.1809956,-39.4222968
BA,LAJEDINHO,-12.3555395,-40.9033041
BA,LAJEDO DO TABOCAL,-13.4740649,-40.2195324
BA,LAJEDÃO,-17.6125496,-40.3450272
BA,LAMARÃO,-11.7954003,-38.8852303
BA,LAPÃO,-11.3827148,-41.833808
BA,LAURO DE FREITAS,-12.89242,-38.3127691
BA,LENÇÓIS,-12.5634288,-41.3901717
BA,LICÍNIO DE ALMEIDA,-14.684215,-42.509527
BA,LIVRAMENTO DE NOSSA SENHORA,-13.6505468,-41.8412103
BA,LUÍS EDUARDO MAGALHÃES,-12.0869117,-45.7834163
BA,MACAJUBA,-12.1376415,-40.3590055
BA,MACARANI,-15.5610861,-40.4226078
BA,MACAÚBAS,-13.0174846,-42.6882221
BA,MACURURÉ,-9.1717089,-39.0574899
BA,MADRE DE DEUS,-12.7424741,-38.6152913
BA,MAETINGA,-14.6627814,-41.4914419
BA,MAIQUINIQUE,-15.6215177,-40.2650536
BA,MAIRI,-11.7077488,-40.1484881
BA,MALHADA,-14.3379191,-43.7716651
BA,MALHADA DE PEDRAS,-14.3866285,-41.8791848
BA,MANOEL VITORINO,-14.1448395,-40.2439696
BA,MANSIDÃO,-10.7196537,-44.0356021
BA,MARACÁS,-13.4408898,-40.433052
BA,MARAGOGIPE,-12.7766206,-38.9174729
BA,MARAÚ,-14.103022,-39.0144322
BA,MARCIONÍLIO SOUZA,-13.0024332,-40.5317476
BA,MASCOTE,-15.5645474,-39.3026663
BA,MATA DE SÃO JOÃO,-12.530685,-38.300898
BA,MATINA,-13.9098616,-42.8461536
BA,MEDEIROS NETO,-17.3714581,-40.2224736
BA,MIGUEL CALMON,-11.4309436,-40.5976501
BA,MILAGRES,-12.864635,-39.861092
BA,MIRANGABA,-10.9540277,-40.5764152
BA,MIRANTE,-14.2401367,-40.7661915
BA,MONTE SANTO,-10.4382898,-39.3304065
BA,MORPARÁ,-11.5628341,-43.2768414
BA,MORRO DO CHAPÉU,-11.5500293,-41.1570248
BA,MORTUGABA,-15.0232826,-42.3695423
BA,MUCUGÊ,-13.0053,-41.370271
BA,MUCURI,-18.0787487,-39.5470583
BA,MULUNGU DO MORRO,-11.9653564,-41.6408239
BA,MUNDO NOVO,-11.8573859,-40.4731656
BA,MUNIZ FERREIRA,-13.0012551,-39.1102126
BA,MUQUÉM DO SÃO FRANCISCO,-12.0650162,-43.5497188
BA,MURITIBA,-12.624266,-38.9885844
BA,MUTUÍPE,-13.2282298,-39.5060149
BA,NAZARÉ,-13.0345586,-39.0062515
BA,NILO PEÇANHA,-13.6015675,-39.1043356
BA,NORDESTINA,-10.8258183,-39.4297655
BA,NOVA CANAÃ,-14.7936791,-40.1453848
BA,NOVA FÁTIMA,-11.6046105,-39.631054
BA,NOVA IBIÁ,-13.8102566,-39.624783
BA,NOVA ITARANA,-13.0280762,-40.0678848
BA,NOVA REDENÇÃO,-12.817268,-41.0709301
BA,NOVA SOURE,-11.2409332,-38.4774123
BA,NOVA VIÇOSA,-17.8907712,-39.3725471
BA,NOVO HORIZONTE,-12.8085637,-42.1674812
BA,NOVO TRIUNFO,-10.3317495,-38.4191302
BA,OLINDINA,-11.3601309,-38.3269571
BA,OLIVEIRA DOS BREJINHOS,-12.3193308,-42.8914271
BA,OURIÇANGAS,-12.0105291,-38.6259109
BA,OUROLÂNDIA,-10.9686909,-41.0808672
BA,PALMAS DE MONTE ALTO,-14.2636093,-43.1649976
BA,PALMEIRAS,-12.5151234,-41.5746054
BA,PARAMIRIM,-13.4437218,-42.2419768
BA,PARATINGA,-12.692459,-43.1805318
BA,PARIPIRANGA,-10.6828923,-37.8621523
BA,PAU BRASIL,-15.4645802,-39.6518409
BA,PAULO AFONSO,-9.3991006,-38.226711
BA,PEDRO ALEXANDRE,-10.0118695,-37.894739
BA,PEDRÃO,-12.1451302,-38.6466197
BA,PIATÃ,-13.1535638,-41.7743761
BA,PILÃO ARCADO,-10.0004334,-42.4793189
BA,PINDAÍ,-14.4911899,-42.6864686
BA,PINDOBAÇU,-10.7439121,-40.3619457
BA,PINTADAS,-11.813042,-39.9076005
BA,PIRAÍ DO NORTE,-13.7613252,-39.3743055
BA,PIRIPÁ,-14.9419863,-41.7149815
BA,PIRITIBA,-11.7320314,-40.5561536
BA,PLANALTINO,-13.2600789,-40.3692123
BA,PLANALTO,-14.6689214,-40.481006
BA,POJUCA,-12.4260268,-38.3266573
BA,PONTO NOVO,-10.8642828,-40.1328306
BA,PORTO SEGURO,-16.443473,-39.064251
BA,POTIRAGUÁ,-15.5935151,-39.871412
BA,POÇÕES,-14.5274879,-40.3665326
BA,PRADO,-17.336357,-39.222721
BA,PRESIDENTE DUTRA,-11.2959181,-41.9871566
BA,PRESIDENTE JÂNIO QUADROS,-14.685696,-41.6770097
BA,PRESIDENTE TANCREDO NEVES,-13.4556558,-39.4212197
BA,PÉ DE SERRA,-11.8346273,-39.6108675
BA,QUEIMADAS,-10.9807081,-39.6249588
BA,QUIJINGUE,-10.7513728,-39.2075228
BA,QUIXABEIRA,-11.4123294,-40.1264724
BA,RAFAEL JAMBEIRO,-12.3988144,-39.5020289
BA,REMANSO,-9.6179416,-42.0830557
BA,RETIROLÂNDIA,-11.4935873,-39.4245887
BA,RIACHO DE SANTANA,-13.6100985,-42.9355254
