uf,cidade,candidato,votos_validos,votos_concorrentes,lat,lon
AC,MANOEL URBANO,SIMONE TEBET,126,5534,-8.838755,-69.2619465
AC,MANOEL URBANO,CIRO GOMES,114,5534,-8.838755,-69.2619465
AC,MANOEL URBANO,SORAYA THRONICKE,47,5534,-8.838755,-69.2619465
AC,MANOEL URBANO,SOFIA MANZANO,5,5534,-8.838755,-69.2619465
AC,MANOEL URBANO,FELIPE D'AVILA,3,5534,-8.838755,-69.2619465
AC,MANOEL URBANO,PADRE KELMON,2,5534,-8.838755,-69.2619465
AC,MANOEL URBANO,CONSTITUINTE EYMAEL,1,5534,-8.838755,-69.2619465
AC,MANOEL URBANO,LÉO PÉRICLES,0,5534,-8.838755,-69.2619465
AC,MANOEL URBANO,VERA,0,5534,-8.838755,-69.2619465
AC,MARECHAL THAUMATURGO,JAIR BOLSONARO,4146,8059,-8.9479792,-72.7872614
AC,MARECHAL THAUMATURGO,LULA,3238,8059,-8.9479792,-72.7872614
AC,MARECHAL THAUMATURGO,SIMONE TEBET,433,8059,-8.9479792,-72.7872614
AC,MARECHAL THAUMATURGO,CIRO GOMES,225,8059,-8.9479792,-72.7872614
AC,MARECHAL THAUMATURGO,SORAYA THRONICKE,10,8059,-8.9479792,-72.7872614
AC,MARECHAL THAUMATURGO,PADRE KELMON,3,8059,-8.9479792,-72.7872614
AC,MARECHAL THAUMATURGO,LÉO PÉRICLES,1,8059,-8.9479792,-72.7872614
AC,MARECHAL THAUMATURGO,SOFIA MANZANO,1,8059,-8.9479792,-72.7872614
AC,MARECHAL THAUMATURGO,FELIPE D'AVILA,1,8059,-8.9479792,-72.7872614
AC,MARECHAL THAUMATURGO,VERA,1,8059,-8.9479792,-72.7872614
AC,MARECHAL THAUMATURGO,CONSTITUINTE EYMAEL,0,8059,-8.9479792,-72.7872614
AC,MÂNCIO LIMA,JAIR BOLSONARO,6469,10244,-7.6145911,-72.905264
AC,MÂNCIO LIMA,LULA,3236,10244,-7.6145911,-72.905264
AC,MÂNCIO LIMA,SIMONE TEBET,331,10244,-7.6145911,-72.905264
AC,MÂNCIO LIMA,CIRO GOMES,155,10244,-7.6145911,-72.905264
AC,MÂNCIO LIMA,SORAYA THRONICKE,32,10244,-7.6145911,-72.905264
AC,MÂNCIO LIMA,FELIPE D'AVILA,8,10244,-7.6145911,-72.905264
AC,MÂNCIO LIMA,PADRE KELMON,6,10244,-7.6145911,-72.905264
AC,MÂNCIO LIMA,SOFIA MANZANO,4,10244,-7.6145911,-72.905264
AC,MÂNCIO LIMA,CONSTITUINTE EYMAEL,1,10244,-7.6145911,-72.905264
AC,MÂNCIO LIMA,VERA,1,10244,-7.6145911,-72.905264
AC,MÂNCIO LIMA,LÉO PÉRICLES,1,10244,-7.6145911,-72.905264
AC,PLÁCIDO DE CASTRO,JAIR BOLSONARO,6209,9390,-10.3239154,-67.1824196
AC,PLÁCIDO DE CASTRO,LULA,2442,9390,-10.3239154,-67.1824196
AC,PLÁCIDO DE CASTRO,SIMONE TEBET,489,9390,-10.3239154,-67.1824196
AC,PLÁCIDO DE CASTRO,CIRO GOMES,189,9390,-10.3239154,-67.1824196
AC,PLÁCIDO DE CASTRO,SORAYA THRONICKE,43,9390,-10.3239154,-67.1824196
AC,PLÁCIDO DE CASTRO,FELIPE D'AVILA,11,9390,-10.3239154,-67.1824196
AC,PLÁCIDO DE CASTRO,PADRE KELMON,6,9390,-10.3239154,-67.1824196
AC,PLÁCIDO DE CASTRO,SOFIA MANZANO,1,9390,-10.3239154,-67.1824196
AC,PLÁCIDO DE CASTRO,LÉO PÉRICLES,0,9390,-10.3239154,-67.1824196
AC,PLÁCIDO DE CASTRO,VERA,0,9390,-10.3239154,-67.1824196
AC,PLÁCIDO DE CASTRO,CONSTITUINTE EYMAEL,0,9390,-10.3239154,-67.1824196
AC,PORTO ACRE,JAIR BOLSONARO,7062,10259,-9.5879722,-67.53307
AC,PORTO ACRE,LULA,2490,10259,-9.5879722,-67.53307
AC,PORTO ACRE,SIMONE TEBET,463,10259,-9.5879722,-67.53307
AC,PORTO ACRE,CIRO GOMES,168,10259,-9.5879722,-67.53307
AC,PORTO ACRE,SORAYA THRONICKE,53,10259,-9.5879722,-67.53307
AC,PORTO ACRE,FELIPE D'AVILA,12,10259,-9.5879722,-67.53307
AC,PORTO ACRE,PADRE KELMON,6,10259,-9.5879722,-67.53307
AC,PORTO ACRE,SOFIA MANZANO,3,10259,-9.5879722,-67.53307
AC,PORTO ACRE,VERA,1,10259,-9.5879722,-67.53307
AC,PORTO ACRE,CONSTITUINTE EYMAEL,1,10259,-9.5879722,-67.53307
AC,PORTO ACRE,LÉO PÉRICLES,0,10259,-9.5879722,-67.53307
AC,PORTO WALTER,LULA,2660,5503,-8.2687722,-72.7444458
AC,PORTO WALTER,JAIR BOLSONARO,2143,5503,-8.2687722,-72.7444458
AC,PORTO WALTER,SIMONE TEBET,451,5503,-8.2687722,-72.7444458
AC,PORTO WALTER,CIRO GOMES,214,5503,-8.2687722,-72.7444458
AC,PORTO WALTER,SORAYA THRONICKE,27,5503,-8.2687722,-72.7444458
AC,PORTO WALTER,PADRE KELMON,6,5503,-8.2687722,-72.7444458
